date,cap_rank,stock_id,market,name_short,industry,close,market_cap_bn
2026-09-12,99,6442,TWSE,光聖,27,1670.0,134.35
2026-09-12,100,2049,TWSE,上銀,05,359.0,127.01
2026-09-12,101,2377,TWSE,微星,25,149.0,125.88
2026-09-12,102,2610,TWSE,華航,15,20.4,125.36
2026-09-12,103,2812,TWSE,台中銀,17,19.5,125.29
2026-09-12,104,1102,TWSE,亞泥,01,35.3,125.19
2026-09-12,105,8996,TWSE,高力,05,1330.0,124.36
2026-09-12,106,3026,TWSE,禾伸堂,28,744.0,123.42
2026-09-12,107,2027,TWSE,大成鋼,10,46.5,120.17
2026-09-12,108,3406,TWSE,玉晶光,26,1060.0,119.51
2026-09-12,109,2451,TWSE,創見,24,276.5,119.27
2026-09-12,110,1560,TWSE,中砂,05,790.0,118.73
2026-09-12,111,7610,TWSE,聯友金屬-創,35,1975.0,115.15
2026-09-12,112,8210,TWSE,勤誠,25,900.0,113.06
2026-09-12,113,6196,TWSE,帆宣,31,511.0,112.59
2026-09-12,114,2474,TWSE,可成,31,204.0,109.92
2026-09-12,115,8464,TWSE,億豐,38,371.0,108.71
2026-09-12,116,6285,TWSE,啟碁,27,222.5,107.57
2026-09-12,117,3706,TWSE,神達,25,80.1,106.31
2026-09-12,118,1503,TWSE,士電,05,202.0,105.24
2026-09-12,119,6526,TWSE,達發,24,624.0,104.52
2026-09-12,120,6257,TWSE,矽格,24,211.5,102.35
2026-09-12,121,5434,TWSE,崇越,29,527.0,102.24
2026-09-12,122,2838,TWSE,聯邦銀,17,21.05,101.2
2026-09-12,123,2542,TWSE,興富發,14,46.5,100.12
2026-09-12,124,2105,TWSE,正新,11,30.4,98.54
2026-09-12,125,5269,TWSE,祥碩,24,1315.0,97.52
2026-09-12,126,2455,TWSE,全新,27,515.0,96.3
2026-09-12,127,2353,TWSE,宏碁,25,31.1,94.79
2026-09-12,128,2354,TWSE,鴻準,31,65.7,92.93
2026-09-12,129,3006,TWSE,晶豪科,24,290.5,86.61
2026-09-12,130,2467,TWSE,志聖,28,552.0,86.58
2026-09-12,131,6781,TWSE,AES-KY,28,1005.0,85.85
2026-09-12,132,1717,TWSE,長興,21,70.9,83.96
2026-09-12,133,2855,TWSE,統一證,17,51.9,83.11
2026-09-12,134,1513,TWSE,中興電,05,165.0,83.01
2026-09-12,135,6531,TWSE,愛普*,24,988.0,80.45
2026-09-12,136,2385,TWSE,群光,28,105.0,80.4
2026-09-12,137,9945,TWSE,潤泰新,20,28.1,79.92
2026-09-12,138,1476,TWSE,儒鴻,04,288.5,79.15
2026-09-12,139,6005,TWSE,群益證,17,31.5,77.34
2026-09-12,140,3023,TWSE,信邦,28,322.0,77.3
2026-09-12,141,6409,TWSE,旭隼,31,861.0,75.99
2026-09-12,142,2637,TWSE,慧洋-KY,15,101.0,75.39
2026-09-12,143,3450,TWSE,聯鈞,24,512.0,74.59
2026-09-12,144,1229,TWSE,聯華,02,40.7,74.56
2026-09-12,145,3167,TWSE,大量,05,828.0,74.12
2026-09-12,146,6691,TWSE,洋基工程,31,609.0,73.99
2026-09-12,147,3005,TWSE,神基,25,115.5,72.14
2026-09-12,148,8039,TWSE,台虹,28,272.0,71.75
2026-09-12,149,9904,TWSE,寶成,37,24.2,71.31
2026-09-12,150,6944,TWSE,兆聯實業,35,690.0,68.79
